,As of Date,Underlying Price,Expiration Date,Time to Expiration,Strike Price,Put Premium,Call Premium
566640,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,200,0.0097740965186842,4995.401365368137
566641,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,205,0.0102628027996609,4990.426240898002
566642,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,210,0.0107515090878512,4985.451116427875
566643,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,215,0.0112402153960288,4980.475991957766
566644,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,220,0.0117289217451043,4975.500867487701
566645,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,225,0.0122176281638007,4970.5257430177035
566646,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,230,0.0127063346883283,4965.550618547812
566647,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,235,0.0131950413620602,4960.57549407807
566648,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,240,0.0136837482352076,4955.600369608527
566649,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,245,0.0141724553644951,4950.625245139241
566650,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,250,0.0146611628128355,4945.650120670273
566651,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,255,0.0151498706490056,4940.674996201695
566652,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,260,0.0156385789473213,4935.699871733576
566653,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,265,0.0161272877873127,4930.724747266001
566654,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,270,0.0166159972533996,4925.749622799051
566655,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,275,0.0171047074345664,4920.774498332817
566656,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,280,0.0175934184240379,4915.79937386739
566657,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,285,0.0180821303189539,4910.82424940287
566658,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,290,0.018570843220045,4905.849124939355
566659,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,295,0.0190595572313077,4900.874000476951
566660,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,300,0.0195482724596794,4895.898876015764
566661,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,305,0.0200369890147143,4890.9237515559025
566662,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,310,0.0205257070082576,4885.94862709748
566663,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,315,0.021014426554122,4880.973502640611
566664,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,320,0.0215031477677621,4875.998378185409
566665,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,325,0.0219918707659497,4871.023253731991
566666,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,330,0.0224805956664496,4866.048129280476
566667,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,335,0.0229693225876944,4861.0730048309815
566668,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,340,0.0234580516484599,4856.097880383626
566669,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,345,0.0239467829675403,4851.12275593853
566670,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,350,0.0244355166634234,4846.14763149581
566671,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,355,0.0249242528539661,4841.172507055585
566672,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,360,0.0254129916560697,4836.197382617971
566673,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,365,0.0259017331853545,4831.222258183085
566674,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,370,0.0263904775558359,4826.247133751039
566675,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,375,0.0268792248795992,4821.272009321948
566676,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,380,0.0273679752664748,4816.296884895919
566677,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,385,0.0278567288237138,4811.321760473061
566678,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,390,0.0283454856556631,4806.346636053477
566679,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,395,0.0288342458634403,4801.371511637269
566680,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,400,0.0293230095446097,4796.396387224533
566681,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,405,0.0298117767928492,4791.421262815366
566682,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,410,0.0303005476974264,4786.446138409855
566683,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,415,0.0307893223421836,4781.471014008084
566684,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,420,0.0312781008043325,4776.495889610131
566685,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,425,0.0317668831532397,4771.520765216064
566686,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,430,0.0322556694492129,4766.545640825944
566687,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,435,0.0327444597422869,4761.570516439821
566688,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,440,0.0332332540710096,4756.595392057735
566689,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,445,0.0337220524612285,4751.620267679708
566690,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,450,0.0342108549248761,4746.645143305757
566691,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,455,0.0346996614587567,4741.670018935875
566692,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,460,0.0351884720433318,4736.694894570044
566693,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,465,0.0356772866415067,4731.719770208227
566694,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,470,0.0361661051974162,4726.744645850366
566695,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,475,0.0366549276352109,4721.769521496389
566696,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,480,0.0371437538578431,4716.7943971461955
566697,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,485,0.037632583745853,4711.819272799668
566698,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,490,0.0381214171561549,4706.844148456662
566699,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,495,0.0386102539208229,4701.869024117012
566700,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,500,0.039099093845877,4696.893899780521
566701,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,505,0.039587936710153,4691.918775446969
566702,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,510,0.0400767822663171,4686.94365111611
566703,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,515,0.0405656302473228,4681.968526787675
566704,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,520,0.0410544803750132,4676.993402461387
566705,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,525,0.041543332368807,4672.018278136966
566706,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,530,0.0420321859543841,4667.043153814136
566707,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,535,0.0425210408723716,4662.068029492637
566708,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,540,0.0430098968870292,4657.092905172236
566709,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,545,0.0434987537949351,4652.117780852728
566710,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,550,0.043987611433672,4647.142656533952
566711,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,555,0.0444764696905126,4642.167532215792
566712,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,560,0.0449653285111055,4637.192407898197
566713,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,565,0.0454541879081606,4632.217283581179
566714,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,570,0.0459430479701355,4627.242159264825
566715,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,575,0.0464319088699207,4622.267034949309
566716,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,580,0.0469207708735258,4617.291910634896
566717,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,585,0.0474096343487648,4612.316786321957
566718,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,590,0.0478984997739423,4607.341662010966
566719,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,595,0.048387367746539,4602.366537702523
566720,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,600,0.0488762389918974,4597.391413397352
566721,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,605,0.0493651143719422,4592.416289096316
566722,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,610,0.049853994894789,4587.441164800424
566723,8/7/2024,5202.9406827024995,9/6/2024,0.0833333333333333,615,0.0503428817266044,4582.466040510841
